Block,TrtNum,MinOil,Fert,month,response,vgrp,vgrp2
4,2,Low,High S,4,97.9,2,1
1,3,Low,Low H3PO3,4,98.6,1,1
2,3,Low,Low H3PO3,4,98.7,1,1
3,3,Low,Low H3PO3,4,98.5,1,1
4,3,Low,Low H3PO3,4,98.6,1,1
1,4,Low,High H3PO3,4,98.3,1,1
2,4,Low,High H3PO3,4,98.7,1,1
3,4,Low,High H3PO3,4,98.6,1,1
4,4,Low,High H3PO3,4,97.8,1,1
1,5,High,Low S,4,97.9,1,1
2,5,High,Low S,4,97.8,1,1
3,5,High,Low S,4,98.1,1,1
4,5,High,Low S,4,98,1,1
1,6,High,High S,4,92.8,2,2
2,6,High,High S,4,92.4,2,2
3,6,High,High S,4,95.2,2,2
4,6,High,High S,4,94.9,2,2
1,7,High,Low H3PO3,4,99.1,1,1
2,7,High,Low H3PO3,4,98.9,1,1
3,7,High,Low H3PO3,4,98.9,1,1
4,7,High,Low H3PO3,4,98.8,1,1
1,8,High,High H3PO3,4,98.9,1,1
2,8,High,High H3PO3,4,98.9,1,1
3,8,High,High H3PO3,4,98.7,1,1
4,8,High,High H3PO3,4,99.1,1,1
